n0_r0,n0_r1,n0_r2,n1_r0,n1_r1,n1_r2,n2_r0,n2_r1,n2_r2,n3_r0,n3_r1,n3_r2,n4_r0,n4_r1,n4_r2,n5_r0,n5_r1,n5_r2,n6_r0,n6_r1,n6_r2,n7_r0,n7_r1,n7_r2,n8_r0,n8_r1,n8_r2,n9_r0,n9_r1,n9_r2,na_r0,na_r1,na_r2,nb_r0,nb_r1,nb_r2
0.00,0.00,0.00,0.00,0.00,0.01,1.07,0.00,0.05,0.00,0.00,0.19,0.00,0.00,0.36,1.10,0.00,0.52,0.00,0.43,0.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.00,0.23,0.00
0.00,0.00,0.00,0.00,0.14,0.21,1.15,0.12,0.05,0.00,0.23,0.20,0.00,0.00,0.17,1.01,0.00,0.37,0.00,0.00,0.86,0.00,0.12,0.00,0.00,0.00,0.12,0.00,0.18,0.00,0.00,0.00,0.00,0.00,0.54,0.17
0.53,0.59,0.00,0.00,0.16,0.55,1.15,0.26,0.17,0.00,0.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.45,0.00,0.19,0.17,0.24,0.00,0.00,0.00,0.18,0.00,0.00,0.00,0.00,0.34,0.34,0.55
0.93,0.63,0.19,0.06,0.00,0.74,1.16,0.00,0.01,0.00,0.60,0.02,0.07,0.10,0.00,0.00,0.03,0.21,0.00,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.16,0.03,0.00,0.00,0.58,0.00,0.48
1.29,0.00,0.09,0.00,0.00,0.47,1.03,0.00,0.00,0.20,0.78,0.00,0.00,0.00,0.03,0.00,0.05,0.27,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.10,0.00,0.21,0.48,0.00,0.17
1.60,0.00,0.00,0.00,0.55,0.33,0.00,0.00,0.06,0.00,0.70,0.00,0.00,0.00,0.00,0.03,0.21,0.19,0.00,0.00,0.05,0.00,0.00,0.35,0.00,0.00,0.00,0.00,0.16,0.00,0.00,0.00,0.25,0.00,0.00,0.00
1.44,0.00,0.00,0.06,0.55,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.00,0.00,0.17,0.00,0.00,0.00,0.22,0.00,0.00,0.00,0.65,0.00,0.00,0.00,0.00,0.00,0.27,0.28,0.00,0.24,0.00,0.00,0.00
1.14,0.00,0.30,0.00,0.00,0.00,0.73,0.00,0.04,0.00,0.00,0.23,0.00,0.00,0.00,0.12,0.00,0.00,0.00,0.09,0.00,0.09,0.00,0.57,0.07,0.05,0.00,0.51,0.00,0.33,0.00,0.00,0.19,0.02,0.19,0.25
0.95,0.00,0.43,0.00,0.00,0.00,0.95,0.25,0.10,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.24,0.00,0.00,0.37,0.69,0.00,0.55,0.00,0.15,0.29,0.00,0.62,0.40
0.00,0.00,0.36,0.32,0.00,0.00,0.94,0.10,0.47,0.00,0.00,0.00,0.26,0.00,0.00,0.00,0.12,0.12,0.29,0.00,0.00,0.06,0.33,0.00,0.00,0.00,0.57,0.41,0.00,0.65,0.00,0.00,0.28,0.00,0.74,0.37
0.00,0.00,0.30,0.54,0.00,0.28,1.05,0.00,0.82,0.00,0.00,0.00,0.74,0.00,0.00,0.00,0.29,0.00,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.75,0.00,0.00,0.64,0.00,0.00,0.23,0.00,0.64,0.17
0.00,0.15,0.00,0.77,0.00,0.39,1.09,0.00,0.77,0.00,0.00,0.00,0.68,0.00,0.00,0.00,0.00,0.00,0.25,0.00,0.30,0.00,0.00,0.00,0.00,0.35,0.88,0.00,0.00,0.64,0.06,0.00,0.00,0.00,0.00,0.00
0.02,0.50,0.00,0.93,0.33,0.01,1.21,0.48,0.59,0.00,0.00,0.29,0.58,0.00,0.25,0.00,0.06,0.14,0.00,0.00,0.38,0.00,0.00,0.26,0.00,0.32,1.02,0.00,0.00,0.54,0.00,0.02,0.00,0.00,0.23,0.00
0.09,0.72,0.20,0.91,0.32,0.00,1.36,1.21,0.49,0.00,0.18,0.27,0.12,0.00,0.28,0.00,0.72,0.33,0.16,0.00,0.22,0.04,0.00,0.70,0.18,0.08,1.12,0.00,0.00,0.54,0.00,0.19,0.29,0.00,0.00,0.00
0.55,0.68,0.46,0.67,0.19,0.00,1.26,1.22,0.29,0.00,0.00,0.33,0.00,0.00,0.26,0.40,0.77,0.07,0.00,0.45,0.00,0.12,0.19,0.84,0.00,0.00,1.06,0.00,0.00,0.41,0.66,0.23,0.37,0.00,0.35,0.00
0.76,0.01,0.41,0.00,0.16,0.00,1.04,0.85,0.00,0.00,0.00,0.49,0.00,0.00,0.20,0.00,0.69,0.00,0.00,0.00,0.00,0.00,0.52,0.84,0.00,0.00,0.90,0.00,0.00,0.00,1.06,0.00,0.12,0.00,0.63,0.00
0.73,0.00,0.49,0.06,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.60,0.00,0.00,0.00,0.00,0.08,0.25,0.12,0.00,0.00,0.00,0.25,0.69,0.00,0.00,0.77,0.00,0.00,0.00,0.81,0.00,0.00,0.00,0.55,0.00
0.87,0.00,0.60,0.00,0.00,0.71,0.40,0.00,0.11,0.00,0.00,0.57,0.00,0.00,0.00,0.08,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.64,0.00,0.00,0.79,0.37,0.00,0.02,0.46,0.00,0.00,0.00,0.00,0.00
1.21,0.12,0.66,0.00,0.00,0.68,0.00,0.09,0.33,0.00,0.16,0.44,0.00,0.00,0.02,0.00,0.00,0.33,0.06,0.09,0.00,0.00,0.00,0.55,0.00,0.00,0.78,0.42,0.00,0.00,0.00,0.00,0.38,0.00,0.00,0.00
1.21,0.00,0.56,0.17,0.23,0.39,0.00,0.00,0.25,0.00,0.65,0.26,0.00,0.00,0.00,0.00,0.00,0.10,0.14,0.21,0.24,0.20,0.05,0.47,0.00,0.00,0.65,0.37,0.00,0.00,0.00,0.17,0.23,0.00,0.00,0.00
1.13,0.00,0.47,0.41,0.34,0.09,0.00,0.00,0.06,0.00,0.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.32,0.00,0.00,0.46,0.00,0.00,0.40,0.00,0.00,0.29,0.41,0.45,0.28,0.31,0.04,0.00
1.30,0.12,0.61,0.50,0.54,0.09,0.14,0.00,0.05,0.00,0.37,0.03,0.00,0.00,0.00,0.19,0.00,0.00,0.00,0.32,0.34,0.00,0.00,0.00,0.00,0.00,0.00,0.19,0.18,0.23,0.89,0.29,0.24,0.54,0.44,0.00
1.54,0.28,0.73,0.00,0.78,0.21,0.37,0.00,0.34,0.00,0.00,0.09,0.00,0.00,0.00,0.00,0.00,0.43,0.00,0.17,0.42,0.00,0.00,0.00,0.00,0.00,0.00,0.24,0.11,0.02,1.05,0.14,0.06,0.27,0.38,0.00
1.73,0.00,0.73,0.25,0.94,0.31,0.00,0.00,0.24,0.00,0.13,0.17,0.00,0.00,0.00,0.00,0.00,0.55,0.06,0.00,0.35,0.00,0.11,0.00,0.00,0.14,0.00,0.00,0.00,0.07,1.11,0.24,0.00,0.00,0.00,0.00
1.68,0.00,0.72,0.88,1.05,0.41,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.09,0.00,0.69,0.19,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.19,0.00,0.00,1.09,0.08,0.00,0.05,0.00,0.13
1.61,0.00,0.85,0.86,0.77,0.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.11,0.77,0.13,0.20,0.00,0.18,0.00,0.00,0.00,0.00,0.00,0.02,0.24,0.00,1.09,0.00,0.00,0.00,0.00,0.00
1.64,0.12,0.98,0.57,0.00,0.36,0.63,0.27,0.00,0.00,0.03,0.00,0.00,0.00,0.27,0.00,0.00,0.58,0.55,0.16,0.00,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.32,0.00,1.06,0.00,0.00,0.00,0.00,0.00
1.60,0.45,1.02,0.09,0.00,0.25,1.06,0.35,0.00,0.00,0.23,0.00,0.00,0.00,0.00,0.00,0.00,0.53,0.87,0.03,0.00,0.00,0.00,0.21,0.00,0.00,0.00,0.11,0.25,0.00,0.94,0.00,0.24,0.00,0.38,0.00
1.50,0.33,0.96,0.12,0.53,0.00,1.30,0.28,0.25,0.00,0.00,0.14,0.17,0.00,0.00,0.00,0.09,0.54,1.11,0.11,0.00,0.00,0.01,1.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.13,0.00
1.49,0.02,0.86,0.03,0.64,0.18,1.48,0.00,0.05,0.00,0.00,0.00,0.08,0.00,0.00,0.00,0.00,0.57,1.23,0.60,0.00,0.16,0.22,0.90,0.00,0.00,0.18,0.00,0.26,0.00,0.00,0.18,0.00,0.00,0.04,0.00
1.51,0.07,0.85,0.41,0.08,0.05,1.33,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.80,1.16,1.06,0.09,0.00,0.19,0.54,0.00,0.00,0.19,0.14,0.84,0.00,0.34,0.17,0.00,0.05,0.14,0.15
0.09,0.00,0.90,0.77,0.16,0.00,1.17,0.00,0.58,0.00,0.00,0.00,0.00,0.07,0.00,0.00,0.69,1.35,1.07,1.18,0.15,0.00,0.13,0.44,0.00,0.00,0.14,0.00,0.82,0.00,0.24,0.26,0.35,0.00,0.00,0.06
0.16,0.00,0.89,0.73,0.22,0.00,1.09,0.24,0.75,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.37,1.44,0.90,1.14,0.00,0.00,0.31,0.56,0.00,0.34,0.55,0.11,0.55,0.00,0.00,0.20,0.50,0.00,0.12,0.00
0.00,0.00,0.79,0.63,0.50,0.00,0.91,0.00,0.79,0.00,0.00,0.00,0.00,0.06,0.00,0.27,0.00,1.35,0.00,0.98,0.00,0.00,0.00,0.65,0.00,0.37,0.26,0.27,0.00,0.00,0.00,0.18,0.33,0.09,0.36,0.00
0.00,0.00,0.76,0.00,0.65,0.00,0.08,0.00,0.65,0.00,0.00,0.02,0.04,0.43,0.00,0.00,0.00,1.16,0.00,0.00,0.00,0.00,0.00,0.56,0.57,0.19,0.07,0.15,0.00,0.00,0.00,0.36,0.16,0.41,0.32,0.00
0.00,0.00,0.66,0.00,0.51,0.00,0.37,0.00,0.74,0.00,0.00,0.00,0.27,0.00,0.00,0.00,0.00,1.01,0.00,0.00,0.00,0.00,0.09,0.47,0.73,0.12,0.26,0.56,0.00,0.00,0.00,0.44,0.00,0.40,0.00,0.00
0.00,0.00,0.00,0.32,0.04,0.00,0.09,0.00,0.76,0.00,0.00,0.00,0.52,0.25,0.00,0.00,0.25,0.92,0.18,0.00,0.00,0.00,0.00,0.19,0.76,0.00,0.17,0.36,0.00,0.12,0.00,0.06,0.00,0.00,0.00,0.00
0.03,0.00,0.00,0.40,0.00,0.50,0.00,0.24,0.58,0.00,0.00,0.00,0.44,0.60,0.74,0.00,0.45,0.95,0.41,0.00,0.00,0.00,0.00,0.14,0.73,0.00,0.00,0.00,0.00,0.23,0.00,0.14,0.05,0.00,0.00,0.00
