n0_r0,n0_r1,n0_r2,n1_r0,n1_r1,n1_r2,n2_r0,n2_r1,n2_r2,n3_r0,n3_r1,n3_r2,n4_r0,n4_r1,n4_r2,n5_r0,n5_r1,n5_r2,n6_r0,n6_r1,n6_r2,n7_r0,n7_r1,n7_r2,n8_r0,n8_r1,n8_r2,n9_r0,n9_r1,n9_r2,na_r0,na_r1,na_r2,nb_r0,nb_r1,nb_r2
0.20,0.00,0.00,0.15,0.00,0.71,0.09,0.00,0.55,0.00,0.00,0.00,0.00,0.49,0.75,0.00,0.32,0.98,0.11,0.11,0.00,0.00,0.25,0.00,0.50,0.00,0.00,0.00,0.00,0.13,0.00,0.00,0.07,0.04,0.20,0.09
0.17,0.00,0.00,0.00,0.14,0.63,0.42,0.00,0.60,0.00,0.07,0.58,0.00,0.00,0.30,0.28,0.48,0.94,0.00,0.00,0.00,0.00,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.38,0.00,0.52,0.00
0.00,0.00,0.00,0.00,0.02,0.53,0.20,0.14,0.56,0.00,0.00,0.43,0.00,0.00,0.32,0.21,0.34,0.92,0.00,0.11,0.00,0.00,0.60,0.00,0.27,0.00,0.00,0.00,0.00,0.00,0.32,0.00,0.42,0.09,0.82,0.30
0.00,0.09,0.00,0.00,0.05,0.39,0.00,0.00,0.66,0.00,0.00,0.00,0.00,0.00,0.38,0.00,0.24,1.06,0.04,0.46,0.16,0.00,1.12,0.00,0.00,0.12,0.00,0.12,0.00,0.00,0.52,0.09,0.42,0.00,0.90,0.41
0.00,0.06,0.00,0.46,0.42,0.35,0.01,0.00,0.67,0.00,0.00,0.21,0.03,0.00,0.17,0.00,0.65,1.18,0.07,0.13,0.27,0.00,1.04,0.00,0.00,0.00,0.00,0.03,0.37,0.00,0.39,0.28,0.42,0.00,1.16,0.51
0.00,0.00,0.28,0.83,0.03,0.00,0.42,0.00,0.45,0.06,0.00,0.38,0.40,0.00,0.00,0.18,0.78,1.10,0.00,0.06,0.00,0.00,0.81,0.00,0.15,0.13,0.00,0.00,0.13,0.00,0.00,0.00,0.37,0.11,1.46,0.79
0.00,0.00,0.11,0.74,0.00,0.00,0.42,0.29,0.00,0.20,0.00,0.26,0.81,0.00,0.00,0.03,0.72,1.06,0.00,0.00,0.00,0.00,0.00,0.00,0.32,0.25,0.00,0.00,0.17,0.00,0.00,0.00,0.28,0.00,1.43,0.70
0.54,0.07,0.00,0.32,0.42,0.36,0.00,0.38,0.05,0.00,0.00,0.23,0.93,0.00,0.42,0.00,0.44,1.00,0.08,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.21,0.00,0.46,0.00,0.34,0.07,0.00,1.37,0.58
0.82,0.00,0.00,0.00,0.19,0.33,0.00,0.26,0.67,0.00,0.00,0.51,0.88,0.00,0.68,0.00,0.91,0.93,0.25,0.20,0.14,0.00,0.00,0.00,0.00,0.01,0.00,0.20,0.00,0.30,0.00,0.71,0.35,0.32,1.24,0.55
0.85,0.19,0.00,0.00,0.00,0.13,0.00,0.24,0.53,0.40,0.00,0.58,0.76,0.00,0.89,0.19,1.09,0.97,0.00,0.73,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.00,0.00,0.00,0.01,0.49,0.10,0.36,0.00,0.31
0.54,0.16,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.49,0.00,0.52,0.00,0.00,1.04,0.23,1.03,1.01,0.00,0.98,0.00,0.00,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.70,0.00,0.00,0.00,0.00,0.00
0.00,0.02,0.00,0.00,0.00,0.00,0.05,0.03,0.00,0.00,0.00,0.35,0.00,0.18,0.84,0.32,0.80,0.97,0.16,1.01,0.00,0.00,0.29,0.00,0.00,0.00,0.00,0.07,0.00,0.00,1.00,0.00,0.00,0.00,0.22,0.00
0.50,0.27,0.19,0.00,0.00,0.00,0.00,0.07,0.00,0.09,0.00,0.14,0.00,0.47,0.57,0.32,0.00,0.84,0.00,0.81,0.06,0.00,0.03,0.00,0.00,0.00,0.00,0.48,0.00,0.00,0.97,0.00,0.00,0.00,0.06,0.00
0.66,0.42,0.61,0.04,0.10,0.00,0.00,0.00,0.00,0.48,0.02,0.00,0.00,0.42,0.41,0.00,0.00,0.00,0.00,0.00,0.38,0.00,0.07,0.32,0.00,0.16,0.24,0.60,0.00,0.00,1.06,0.00,0.00,0.00,0.00,0.00
0.86,0.06,0.54,0.00,0.00,0.00,0.70,0.00,0.38,0.07,0.07,0.15,0.00,0.00,0.35,0.00,0.00,0.00,0.00,0.00,0.13,0.00,0.00,0.10,0.00,0.00,0.19,0.69,0.00,0.00,1.23,0.09,0.00,0.00,0.07,0.00
1.19,0.00,0.27,0.00,0.00,0.00,0.87,0.00,0.00,0.00,0.00,0.23,0.08,0.00,0.00,0.00,0.22,0.14,0.00,0.31,0.00,0.00,0.00,0.13,0.00,0.00,0.07,0.87,0.00,0.00,1.25,0.00,0.00,0.00,0.62,0.00
1.42,0.00,0.00,0.12,0.00,0.00,0.60,0.00,0.00,0.00,0.00,0.24,0.14,0.00,0.00,0.00,0.58,0.26,0.00,0.22,0.00,0.00,0.38,0.38,0.07,0.07,0.18,0.90,0.00,0.00,1.22,0.00,0.00,0.03,0.81,0.00
1.46,0.00,0.00,0.00,0.12,0.00,0.00,0.07,0.00,0.00,0.00,0.00,0.09,0.06,0.00,0.00,0.96,0.20,0.13,0.86,0.00,0.41,0.00,0.08,0.34,0.00,0.10,0.93,0.00,0.00,1.01,0.00,0.00,0.10,0.33,0.00
1.49,0.36,0.00,0.00,0.00,0.41,0.14,0.01,0.18,0.00,0.06,0.00,0.00,0.45,0.08,0.00,1.00,0.00,0.04,1.28,0.12,0.29,0.00,0.00,0.10,0.26,0.00,0.43,0.14,0.00,0.93,0.19,0.00,0.00,0.00,0.00
1.50,0.55,0.00,0.00,0.08,0.22,0.74,0.00,0.22,0.03,0.00,0.32,0.00,0.49,0.00,0.00,1.07,0.00,0.00,1.17,0.64,0.00,0.00,0.00,0.00,0.00,0.00,0.63,0.00,0.00,0.50,0.26,0.00,0.23,0.00,0.00
1.55,0.57,0.00,0.30,0.17,0.02,0.76,0.00,0.10,0.75,0.40,0.31,0.35,0.58,0.00,0.00,1.09,0.00,0.00,1.06,0.38,0.00,0.00,0.00,0.00,0.00,0.00,0.36,0.00,0.00,0.20,0.22,0.00,0.36,0.37,0.00
1.68,0.15,0.00,0.00,0.44,0.24,0.28,0.00,0.00,0.58,0.61,0.05,0.09,0.87,0.37,0.00,0.82,0.00,0.00,0.93,0.13,0.00,0.24,0.25,0.00,0.14,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.00
1.77,0.45,0.00,0.00,0.35,0.20,0.00,0.00,0.00,0.13,0.34,0.00,0.16,1.28,0.30,0.00,0.00,0.04,0.00,0.00,0.04,0.00,0.20,0.38,0.25,0.67,0.00,0.55,0.22,0.00,0.58,0.00,0.00,0.00,0.00,0.00
1.81,0.00,0.00,0.00,0.00,0.00,0.00,0.39,0.00,0.00,0.00,0.00,0.48,1.62,0.00,0.00,0.27,0.06,0.00,0.00,0.06,0.00,0.00,0.31,0.33,0.49,0.00,0.61,0.10,0.00,0.70,0.00,0.00,0.00,0.26,0.00
1.72,0.00,0.00,0.35,0.30,0.00,0.03,0.56,0.21,0.00,0.00,0.00,0.63,1.75,0.00,0.00,0.33,0.12,0.00,0.00,0.00,0.15,0.00,0.07,0.44,0.06,0.25,0.38,0.17,0.00,0.77,0.00,0.00,0.26,0.05,0.00
1.52,0.11,0.00,0.28,0.55,0.00,0.00,0.35,0.68,0.00,0.00,0.00,0.51,1.50,0.00,0.00,0.00,0.00,0.07,0.79,0.00,0.03,0.21,0.00,0.52,0.58,0.24,0.00,0.00,0.02,0.78,0.00,0.00,0.03,0.05,0.00
1.43,0.07,0.00,0.17,0.27,0.00,0.06,0.00,0.76,0.00,0.06,0.00,0.00,1.18,0.32,0.00,0.04,0.00,0.23,0.97,0.00,0.00,0.52,0.00,0.43,0.40,0.08,0.00,0.00,0.00,0.69,0.00,0.00,0.28,0.44,0.09
1.44,0.00,0.00,0.00,0.00,0.00,0.40,0.00,0.70,0.00,0.15,0.00,0.20,0.88,0.53,0.00,0.59,0.00,0.23,0.49,0.00,0.00,0.59,0.00,0.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.10,0.32,0.59
0.00,0.00,0.00,0.00,0.05,0.15,0.40,0.00,0.67,0.00,0.00,0.32,0.10,0.00,0.67,0.00,0.61,0.00,0.00,0.00,0.00,0.00,0.38,0.00,0.46,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.17,0.23,0.19,0.23
0.00,0.03,0.02,0.22,0.47,0.06,0.33,0.58,0.58,0.00,0.23,0.31,0.00,0.14,0.51,0.00,0.11,0.02,0.00,0.39,0.48,0.13,0.06,0.00,0.49,0.19,0.17,0.23,0.00,0.00,0.41,0.15,0.25,0.59,0.48,0.00
0.51,0.19,0.00,0.26,0.38,0.00,0.43,1.08,0.37,0.00,0.00,0.06,0.00,0.28,0.51,0.21,0.04,0.00,0.00,0.00,0.66,0.26,0.09,0.15,0.00,0.31,0.14,0.10,0.00,0.00,0.43,0.68,0.25,0.92,0.75,0.00
0.64,0.35,0.00,0.00,0.06,0.07,0.22,0.90,0.00,0.00,0.00,0.00,0.00,0.10,0.69,0.08,0.00,0.04,0.00,0.00,0.30,0.42,0.68,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.00,0.51,0.00,1.33,0.89,0.00
0.56,0.24,0.00,0.31,0.00,0.00,0.00,0.78,0.00,0.00,0.00,0.03,0.23,0.00,0.65,0.10,0.00,0.00,0.47,0.55,0.07,0.70,0.77,0.00,0.00,0.00,0.00,0.17,0.71,0.00,0.08,0.00,0.00,1.43,0.88,0.00
0.15,0.00,0.00,0.20,0.00,0.00,0.30,0.07,0.00,0.04,0.28,0.00,0.65,0.00,0.47,0.14,0.00,0.00,0.65,0.40,0.04,0.60,0.47,0.00,0.00,0.02,0.00,0.33,0.48,0.00,0.49,0.00,0.00,1.30,0.00,0.00
